,college,draft_rank,draft_year,height_in,name,reach_in,weight_lb,wingspan_in
472,University of North Carolina,88,1987,,Dave Popson,,,
473,University of New Orleans,100,1987,,Ron Grandison,,,
474,University of Nebraska at Kearney,107,1987,,Bart Kofoed,,,
475,Duke University,116,1987,,Martin Nessley,,,
476,University of Kansas,1,1988,,Danny Manning,,,
477,Marist College,2,1988,,Rik Smits,,,
478,University of Pittsburgh,3,1988,,Charles Smith,,,
479,Auburn University,4,1988,,Chris Morris,,,
480,Kansas State University,5,1988,,Mitch Richmond,,,
481,Bradley University,6,1988,,Hersey Hawkins,,,
482,Temple University,7,1988,,Tim Perry,,,
483,University of Kentucky,8,1988,,Rex Chapman,,,
484,Syracuse University,9,1988,,Rony Seikaly,,,
485,University of Georgia,10,1988,,Willie Anderson,,,
486,Vanderbilt University,11,1988,,Will Perdue,,,
487,University of Oklahoma,12,1988,,Harvey Grant,,,
488,Iowa State University,13,1988,,Jeff Grayer,,,
489,Central Michigan University,14,1988,,Dan Majerle,,,
490,University of Michigan,15,1988,,Gary Grant,,,
491,University of Missouri,16,1988,,Derrick Chievous,,,
492,University of Wyoming,17,1988,,Eric Leckner,,,
493,San Jose State University,18,1988,,Ricky Berry,,,
494,DePaul University,19,1988,,Rod Strickland,,,
495,DePaul University,20,1988,,Kevin Edwards,,,
496,Seton Hall University,21,1988,,Mark Bryant,,,
497,University of Southern Mississippi,22,1988,,Randolph Keys,,,
498,University of Pittsburgh,23,1988,,Jerome Lane,,,
499,"University of California, Santa Barbara",24,1988,,Brian Shaw,,,
500,University of Notre Dame,25,1988,,David Rivers,,,
501,University of Houston,26,1988,,Rolando Ferreira,,,
502,St. John's University,27,1988,,Shelton Jones,,,
503,University of Arkansas,28,1988,,Andrew Lang,,,
504,North Carolina State University,29,1988,,Vinny Del Negro,,,
505,University of Wyoming,30,1988,,Fennis Dembo,,,
506,Purdue University,31,1988,,Everette Stephens,,,
507,North Carolina State University,32,1988,,Charles Shackleford,,,
508,Eastern Michigan University,33,1988,,Grant Long,,,
509,University of Arizona,34,1988,,Tom Tolbert,,,
510,University of Memphis,35,1988,,Sylvester Gray,,,
511,University of New Orleans,36,1988,,Ledell Eackles,,,
512,Stanford University,37,1988,,Greg Butler,,,
513,Indiana University,38,1988,,Dean Garrett,,,
514,University of Miami,39,1988,,Tito Horford,,,
515,Auburn University at Montgomery,40,1988,,Orlando Graham,,,
516,Indiana University,41,1988,,Keith Smart,,,
517,Purdue University,43,1988,,Todd Mitchell,,,
518,University of Oregon,44,1988,,Anthony Taylor,,,
519,University of Rhode Island,45,1988,,Tom Garrick,,,
520,"California State University, Long Beach",46,1988,,Morlon Wiley,,,
521,University of Florida,47,1988,,Vernon Maxwell,,,
522,Baylor University,48,1988,,Micheal Williams,,,
523,University of Arizona,50,1988,,Steve Kerr,,,
524,University of Kentucky,51,1988,,Rob Lock,,,
525,Tennessee State University,53,1988,,Anthony Mason,,,
526,Austin Peay State University,56,1988,,Barry Sumpter,,,
527,University of Tampa,59,1988,,Nate Johnston,,,
528,University of Kentucky,64,1988,,Winston Bennett,,,
529,Loyola Marymount University,65,1988,,Corey Gaines,,,
530,University of Oklahoma,67,1988,,Ricky Grace,,,
531,Georgia Institute of Technology,71,1988,,Craig Neal,,,
532,Drexel University,73,1988,,Michael Anderson,,,
533,"University of Nevada, Las Vegas",74,1988,,Gerald Paddio,,,
534,University of Louisville,1,1989,,Pervis Ellison,,,
535,Duke University,2,1989,,Danny Ferry,,,
536,University of Arizona,3,1989,,Sean Elliott,,,
537,University of Michigan,4,1989,,Glen Rice,,,
538,University of North Carolina,5,1989,,J.R. Reid,,,
539,University of Oklahoma,6,1989,,Stacey King,,,
540,Florida State University,7,1989,,George McCloud,,,
541,Louisiana Tech University,8,1989,,Randy White,,,
542,Georgia Institute of Technology,9,1989,,Tom Hammonds,,,
543,"University of California, Los Angeles",10,1989,,Pooh Richardson,,,
544,University of Illinois at Urbana-Champaign,11,1989,,Nick Anderson,,,
545,University of Oklahoma,12,1989,,Mookie Blaylock,,,
546,Brigham Young University,13,1989,,Michael Smith,,,
547,University of Texas at El Paso,14,1989,,Tim Hardaway,,,
548,Stanford University,15,1989,,Todd Lichti,,,
549,Boston College,16,1989,,Dana Barros,,,
550,Trinity Valley Community College,17,1989,,Shawn Kemp,,,
551,University of Iowa,18,1989,,B.J. Armstrong,,,
552,University of Louisville,19,1989,,Kenny Payne,,,
553,Georgia Southern University,20,1989,,Jeff Sanders,,,
554,East Carolina University,21,1989,,Blue Edwards,,,
555,University of Missouri,22,1989,,Byron Irvin,,,
556,University of Iowa,23,1989,,Roy Marble,,,
557,University of Arizona,24,1989,,Anthony Cook,,,
558,Seton Hall University,25,1989,,John Morton,,,
559,University of Illinois at Urbana-Champaign,27,1989,,Kenny Battle,,,
