,college,name,draft_rank,draft_year
471,University of Kentucky,Joe Crawford,58,2008
472,University of Oklahoma,Blake Griffin,1,2009
473,University of Connecticut,Hasheem Thabeet,2,2009
474,Arizona State University,James Harden,3,2009
475,University of Memphis,Tyreke Evans,4,2009
476,Syracuse University,Jonny Flynn,6,2009
477,Davidson College,Stephen Curry,7,2009
478,University of Arizona,Jordan Hill,8,2009
479,University of Southern California,DeMar DeRozan,9,2009
480,University of Louisville,Terrence Williams,11,2009
481,Duke University,Gerald Henderson,12,2009
482,University of North Carolina,Tyler Hansbrough,13,2009
483,University of Louisville,Earl Clark,14,2009
484,Gonzaga University,Austin Daye,15,2009
485,Wake Forest University,James Johnson,16,2009
486,"University of California, Los Angeles",Jrue Holiday,17,2009
487,University of North Carolina,Ty Lawson,18,2009
488,Wake Forest University,Jeff Teague,19,2009
489,Virginia Commonwealth University,Eric Maynor,20,2009
490,"University of California, Los Angeles",Darren Collison,21,2009
491,Ohio State University,Byron Mullens,24,2009
492,University of Southern California,Taj Gibson,26,2009
493,University of Missouri,DeMarre Carroll,27,2009
494,University of North Carolina,Wayne Ellington,28,2009
495,Florida State University,Toney Douglas,29,2009
496,Arizona State University,Jeff Pendergraph,31,2009
497,University of Central Florida,Jermaine Taylor,32,2009
498,Villanova University,Dante Cunningham,33,2009
499,Georgetown University,DaJuan Summers,35,2009
500,University of Pittsburgh,Sam Young,36,2009
501,University of Pittsburgh,DeJuan Blair,37,2009
502,University of Washington,Jon Brockman,38,2009
503,Xavier University,Derrick Brown,40,2009
504,University of Kentucky,Jodie Meeks,41,2009
505,University of Arkansas,Patrick Beverley,42,2009
506,Louisiana State University,Marcus Thornton,43,2009
507,University of Arizona,Chase Budinger,44,2009
508,University of Florida,Nick Calathes,45,2009
509,University of North Carolina,Danny Green,46,2009
510,University of Oklahoma,Taylor Griffin,48,2009
511,University of Connecticut,A.J. Price,52,2009
512,Saint Mary's College of California,Patrick Mills,55,2009
513,University of Tennessee at Martin,Lester Hudson,58,2009
514,Texas A&M University,Chinemelu Elonu,59,2009
515,University of Kentucky,John Wall,1,2010
516,Ohio State University,Evan Turner,2,2010
517,Georgia Institute of Technology,Derrick Favors,3,2010
518,Syracuse University,Wesley Johnson,4,2010
519,University of Kentucky,DeMarcus Cousins,5,2010
520,Baylor University,Ekpe Udoh,6,2010
521,Georgetown University,Greg Monroe,7,2010
522,Wake Forest University,Al-Farouq Aminu,8,2010
523,Butler University,Gordon Hayward,9,2010
524,"California State University, Fresno",Paul George,10,2010
525,University of Kansas,Cole Aldrich,11,2010
526,University of Kansas,Xavier Henry,12,2010
527,University of North Carolina,Ed Davis,13,2010
528,University of Kentucky,Patrick Patterson,14,2010
529,Virginia Commonwealth University,Larry Sanders,15,2010
530,"University of Nevada, Reno",Luke Babbitt,16,2010
531,University of Kentucky,Eric Bledsoe,18,2010
532,University of Texas at Austin,Avery Bradley,19,2010
533,Oklahoma State University,James Anderson,20,2010
534,Iowa State University,Craig Brackins,21,2010
535,University of Memphis,Elliot Williams,22,2010
536,Clemson University,Trevor Booker,23,2010
537,University of Texas at Austin,Damion James,24,2010
538,University of South Florida,Dominique Jones,25,2010
539,University of Washington,Quincy Pondexter,26,2010
540,Xavier University,Jordan Crawford,27,2010
541,University of Maryland,Greivis Vasquez,28,2010
542,University of Kentucky,Daniel Orton,29,2010
543,Marquette University,Lazar Hayward,30,2010
544,University of Texas at Austin,Dexter Pittman,32,2010
545,Marshall University,Hassan Whiteside,33,2010
546,"University of Nevada, Reno",Armon Johnson,34,2010
547,University of New Mexico,Darington Hobson,37,2010
548,Syracuse University,Andy Rautins,38,2010
549,Stanford University,Landry Fields,39,2010
550,University of Cincinnati,Lance Stephenson,40,2010
551,Mississippi State University,Jarvis Varnado,41,2010
552,West Virginia University,Devin Ebanks,43,2010
553,University of Tulsa,Jerome Jordan,44,2010
554,Georgia Institute of Technology,Gani Lawal,46,2010
555,Florida State University,Solomon Alabi,50,2010
556,University of Notre Dame,Luke Harangody,52,2010
557,University of Oklahoma,Willie Warren,54,2010
558,Western Kentucky University,Jeremy Evans,55,2010
559,Rutgers University,Hamady N'Diaye,56,2010
560,Florida State University,Ryan Reid,57,2010
561,University of Texas at El Paso,Derrick Caracter,58,2010
562,University of Miami,Dwayne Collins,60,2010
563,Duke University,Kyrie Irving,1,2011
564,University of Arizona,Derrick Williams,2,2011
565,University of Texas at Austin,Tristan Thompson,4,2011
566,University of Kentucky,Brandon Knight,8,2011
567,University of Connecticut,Kemba Walker,9,2011
568,Brigham Young University,Jimmer Fredette,10,2011
569,Washington State University,Klay Thompson,11,2011
570,University of Colorado,Alec Burks,12,2011
571,University of Kansas,Markieff Morris,13,2011
572,University of Kansas,Marcus Morris,14,2011
