,name,per,no_of_seasons,start_age,end_age,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
462,Malik Hairston,11.7,4.0,17,20,117,3655,612,1214,145,367,275,428,,244,67,71,55,,1644,.504,.395,.643,31.2,14.1,5.1,2.1
463,Darnell Jackson,8.7,4.0,19,22,125,2073,311,536,2,6,224,327,,67,64,46,51,,848,.580,.333,.685,16.6,6.8,4.9,0.5
464,Mike Taylor,10.1,1.0,21,21,31,1086,165,439,77,214,88,129,,140,35,3,,,495,.376,.360,.682,35.0,16.0,4.1,4.5
465,Sasha Kaun,12.5,4.0,19,22,135,,331,583,0,0,168,328,,44,50,150,32,,830,.568,,.512,,6.1,3.9,0.3
466,Joe Crawford,10.8,4.0,18,21,127,3213,512,1169,186,532,228,325,,191,61,26,83,,1438,.438,.350,.702,25.3,11.3,3.4,1.5
467,Blake Griffin,22.7,2.0,18,19,68,,484,783,3,10,307,521,,141,72,69,192,,1278,.618,.300,.589,,18.8,11.8,2.1
468,Hasheem Thabeet,10.3,3.0,19,21,100,,359,588,0,0,310,496,,41,37,417,126,,1028,.611,,.625,,10.3,8.5,0.4
469,James Harden,22.7,2.0,18,19,69,,417,824,102,271,373,494,,258,132,30,207,,1309,.506,.376,.755,,19.0,5.4,3.7
470,Tyreke Evans,17.3,1.0,19,19,37,,230,505,34,124,138,194,,143,77,29,133,,632,.455,.274,.711,,17.1,5.4,3.9
471,Jonny Flynn,11.3,2.0,18,19,73,,410,892,101,303,290,371,,439,107,12,224,,1211,.460,.333,.782,,16.6,2.7,6.0
472,Stephen Curry,23.2,3.0,18,20,104,,871,1866,414,1004,479,547,,388,221,28,219,,2635,.467,.412,.876,,25.3,4.5,3.7
473,Jordan Hill,16.3,3.0,19,21,97,,494,855,0,0,220,346,,80,53,140,169,,1208,.578,,.636,,12.5,7.9,0.8
474,DeMar DeRozan,17.0,1.0,19,19,35,,192,367,6,36,95,147,,51,31,13,73,,485,.523,.167,.646,,13.9,5.7,1.5
475,Terrence Williams,11.5,4.0,18,21,140,,577,1444,195,609,216,367,,546,210,90,191,,1565,.400,.320,.589,,11.2,6.9,3.9
476,Gerald Henderson,13.6,3.0,19,21,103,,456,995,69,210,281,398,,182,101,69,148,,1262,.458,.329,.706,,12.3,4.2,1.8
477,Tyler Hansbrough,14.8,4.0,20,23,142,,939,1752,12,38,982,1241,,154,180,66,146,,2872,.536,.316,.791,,20.2,8.6,1.1
478,Earl Clark,10.2,3.0,19,21,104,,419,897,56,188,210,328,,179,93,124,199,,1104,.467,.298,.640,,10.6,7.0,1.7
479,Austin Daye,11.6,2.0,19,20,67,,275,577,62,147,166,210,,69,45,124,129,,778,.477,.422,.790,,11.6,5.8,1.0
480,James Johnson,14.4,2.0,20,21,61,,351,682,50,169,151,218,,99,85,88,152,,903,.515,.296,.693,,14.8,8.3,1.6
481,Jrue Holiday,16.2,1.0,18,18,35,,112,249,27,88,45,62,,129,55,18,75,,296,.450,.307,.726,,8.5,3.8,3.7
482,Ty Lawson,17.2,3.0,19,21,105,,463,896,112,278,337,432,,608,184,10,136,,1375,.517,.403,.780,,13.1,2.9,5.8
483,Jeff Teague,17.3,2.0,19,20,61,,315,682,77,183,293,361,,184,113,35,180,,1000,.462,.421,.812,,16.4,3.0,3.0
484,Eric Maynor,10.6,4.0,18,21,130,,654,1457,142,384,503,636,,674,168,20,197,,1953,.449,.370,.791,,15.0,3.4,5.2
485,Darren Collison,15.9,4.0,18,21,141,,560,1171,163,371,347,408,,572,231,13,161,,1630,.478,.439,.850,,11.6,2.3,4.1
486,Byron Mullens,12.2,1.0,19,19,33,,120,188,0,1,52,93,,9,16,37,51,,292,.638,.000,.559,,8.8,4.7,0.3
487,Taj Gibson,15.3,3.0,21,23,105,,502,866,0,0,303,482,,142,77,253,153,,1307,.580,,.629,,12.4,8.5,1.4
488,DeMarre Carroll,13.8,4.0,18,22,134,,599,1119,27,96,281,466,,210,152,59,104,,1506,.535,.281,.603,,11.2,6.0,1.6
489,Wayne Ellington,10.7,3.0,19,21,115,,616,1331,229,577,233,288,,258,109,14,128,,1694,.463,.397,.809,,14.7,4.1,2.2
490,Toney Douglas,13.3,4.0,18,22,130,,739,1673,240,639,462,576,,344,231,37,182,,2180,.442,.376,.802,,16.8,3.8,2.6
491,Jeff Ayres,12.4,4.0,18,21,126,,611,1054,0,9,366,479,,101,62,131,110,,1588,.580,.000,.764,,12.6,7.5,0.8
492,Jermaine Taylor,11.9,4.0,19,22,122,,710,1524,251,668,308,403,,173,115,49,165,,1979,.466,.376,.764,,16.2,3.9,1.4
493,Dante Cunningham,11.2,4.0,18,21,139,,514,981,1,3,305,440,,133,162,117,162,,1334,.524,.333,.693,,9.6,5.9,1.0
494,DaJuan Summers,7.1,3.0,19,21,101,,368,838,145,411,248,341,,129,99,64,148,,1129,.439,.353,.727,,11.2,4.4,1.3
495,Sam Young,11.5,4.0,20,23,143,,716,1438,115,323,337,487,,138,119,109,175,,1884,.498,.356,.692,,13.2,5.0,1.0
496,DeJuan Blair,16.5,2.0,18,19,72,,394,694,0,0,191,311,,77,116,75,115,,979,.568,,.614,,13.6,10.7,1.1
497,Jon Brockman,10.3,4.0,18,21,131,,718,1345,0,1,369,603,,133,111,18,141,,1805,.534,.000,.612,,13.8,9.8,1.0
