,link,name,draft_rank,draft_year,seasons,per
214,/players/d/davismi02.html,Mickey Davis,113.0,1972.0,6.0,12.4
215,/players/k/kelsobe01.html,Ben Kelso,117.0,1972.0,1.0,12.4
217,/players/m/minorma01.html,Mark Minor,165.0,1972.0,1.0,12.4
218,/players/b/barrmi01.html,Mike Barr,180.0,1972.0,5.0,12.4
219,/players/c/collido01.html,Doug Collins,1.0,1973.0,8.0,12.4
220,/players/b/breweji01.html,Jim Brewer,2.0,1973.0,9.0,12.4
221,/players/d/digreer01.html,Ernie DiGregorio,3.0,1973.0,5.0,12.4
222,/players/g/greenmi01.html,Mike Green,4.0,1973.0,7.0,12.4
223,/players/w/washike01.html,Kermit Washington,5.0,1973.0,10.0,12.4
224,/players/r/ratleed01.html,Ed Ratleff,6.0,1973.0,5.0,12.4
225,/players/b/behagro01.html,Ron Behagen,7.0,1973.0,7.0,12.4
226,/players/b/bantomi01.html,Mike Bantom,8.0,1973.0,9.0,12.4
227,/players/j/jonesdw01.html,Dwight Jones,9.0,1973.0,10.0,12.4
228,/players/b/brownjo01.html,John Brown,10.0,1973.0,7.0,12.4
229,/players/j/joyceke01.html,Kevin Joyce,11.0,1973.0,,12.4
230,/players/k/kunneke01.html,Kevin Kunnert,12.0,1973.0,9.0,12.4
231,/players/w/weathni01.html,Nick Weatherspoon,13.0,1973.0,7.0,12.4
232,/players/d/davisme01.html,Mel Davis,14.0,1973.0,4.0,12.4
233,/players/p/parkhba01.html,Barry Parkhill,15.0,1973.0,,12.4
234,/players/n/natersw01.html,Swen Nater,16.0,1973.0,11.0,12.4
235,/players/d/downist01.html,Steve Downing,17.0,1973.0,2.0,12.4
236,/players/n/nelsolo01.html,Louie Nelson,19.0,1973.0,5.0,12.4
237,/players/d/dantomi01.html,Mike D'Antoni,20.0,1973.0,4.0,12.4
238,/players/b/bristal01.html,Allan Bristow,21.0,1973.0,10.0,12.4
239,/players/m/mcginge01.html,George McGinnis,22.0,1973.0,11.0,12.4
240,/players/s/schaebi01.html,Billy Schaeffer,23.0,1973.0,,12.4
241,/players/s/stacoke01.html,Kevin Stacom,24.0,1973.0,6.0,12.4
243,/players/m/mcneila01.html,Larry McNeill,25.0,1973.0,6.0,12.4
244,/players/i/ingelto01.html,Tom Ingelsby,27.0,1973.0,1.0,12.4
245,/players/m/mcfarpa01.html,Patrick McFarland,28.0,1973.0,,12.4
