,college,draft_rank,draft_year,height_in,name,reach_in,weight_lb,wingspan_in
265,"University of California, Los Angeles",31,2003,78.5,Jason Kapono,102.0,215,78.5
266,University of Arizona,32,2003,79.75,Luke Walton,104.0,235,80.5
267,University of North Dakota,33,2003,81.0,Jerome Beasley,107.0,237,84.5
268,Mississippi State University,36,2003,,Mario Austin,,,
269,Brigham Young University,37,2003,76.5,Travis Hansen,100.5,200,78.5
270,University of Maryland,38,2003,,Steve Blake,,,
271,Mississippi State University,40,2003,73.0,Derrick Zimmerman,98.5,190,81.0
272,University of Detroit Mercy,41,2003,74.5,Willie Green,100.0,201,79.25
273,University of Kentucky,43,2003,76.25,Keith Bogans,101.0,213,81.25
274,University of Florida,45,2003,80.5,Matt Bonner,105.5,242,80.75
275,University of Alabama,47,2003,,Mo Williams,,,
276,University of Miami,49,2003,79.25,James Jones,107.5,218,86.5
277,Creighton University,51,2003,78.25,Kyle Korver,102.5,211,81.5
278,Ohio University,56,2003,78.5,Brandon Hunter,105.5,266,86.75
279,University of Connecticut,2,2004,80.75,Emeka Okafor,110.5,257,88.0
280,University of Connecticut,3,2004,73.0,Ben Gordon,99.0,192,80.5
281,University of Wisconsin,5,2004,73.75,Devin Harris,98.5,170,79.5
282,Stanford University,6,2004,77.75,Josh Childress,105.0,196,83.0
283,Duke University,7,2004,79.0,Luol Deng,108.5,220,84.5
284,Brigham Young University,8,2004,,Rafael Araujo,,,
285,University of Arizona,9,2004,77.75,Andre Iguodala,105.5,217,83.0
286,University of Oregon,10,2004,78.0,Luke Jackson,103.0,212,80.5
287,University of Minnesota,14,2004,80.25,Kris Humphries,106.5,238,84.5
288,"University of Nevada, Reno",16,2004,78.0,Kirk Snyder,104.0,228,81.0
289,Saint Joseph's University,20,2004,71.0,Jameer Nelson,95.0,199,74.5
290,Saint Joseph's University,24,2004,73.5,Delonte West,99.5,183,78.0
291,Oklahoma State University,25,2004,75.5,Tony Allen,102.0,214,81.0
292,Western Carolina University,26,2004,,Kevin Martin,,,
293,University of Colorado,29,2004,,David Harrison,,,
294,Iowa State University,31,2004,81.25,Jackson Vroman,105.5,226,84.0
295,Xavier University,33,2004,,Lionel Chalmers,,,
296,Southeastern Illinois College,34,2004,,Donta Smith,,,
297,Texas Tech University,35,2004,75.5,Andre Emmett,100.0,216,81.0
298,University of Memphis,36,2004,72.0,Antonio Burks,96.5,191,78.5
299,University of Texas at Austin,37,2004,,Royal Ivey,,,
300,Duke University,38,2004,72.0,Chris Duhon,98.0,193,78.5
301,University of Mississippi,40,2004,,Justin Reed,,,
302,"University of California, Los Angeles",43,2004,79.0,Trevor Ariza,107.5,201,86.0
303,University of Michigan,45,2004,77.25,Bernard Robinson,102.0,208,82.0
304,"California State University, Fullerton",47,2004,80.5,Pape Sow,108.5,233,86.0
305,Vanderbilt University,53,2004,80.25,Matt Freije,108.5,234,85.0
306,Manhattan College,55,2004,72.5,Luis Flores,98.5,202,79.5
307,University of Utah,1,2005,83.0,Andrew Bogut,110.5,251,87.0
308,University of North Carolina,2,2005,79.0,Marvin Williams,108.0,228,87.5
309,University of Illinois at Urbana-Champaign,3,2005,73.75,Deron Williams,98.0,202,78.25
310,Wake Forest University,4,2005,71.75,Chris Paul,93.0,178,76.25
311,University of North Carolina,5,2005,71.5,Raymond Felton,98.0,199,76.25
312,University of Connecticut,7,2005,81.0,Charlie Villanueva,109.0,237,84.25
313,University of Arizona,8,2005,81.5,Channing Frye,110.5,244,86.5
314,Arizona State University,9,2005,78.5,Ike Diogu,109.0,255,87.5
315,University of North Carolina,13,2005,79.0,Sean May,105.0,259,85.25
316,University of North Carolina,14,2005,74.75,Rashad McCants,103.5,201,82.75
317,Texas A&M University,15,2005,77.25,Antoine Wright,104.5,203,80.75
318,Oklahoma State University,16,2005,77.25,Joey Graham,104.0,217,80.0
319,University of New Mexico,17,2005,79.5,Danny Granger,103.0,225,85.5
320,Syracuse University,19,2005,79.25,Hakim Warrick,108.0,215,86.0
321,North Carolina State University,20,2005,78.0,Julius Hodge,107.5,202,84.5
322,University of Washington,21,2005,67.75,Nate Robinson,91.5,181,73.0
323,Georgia Institute of Technology,22,2005,74.5,Jarrett Jack,100.0,198,79.5
324,University of Louisville,23,2005,77.75,Francisco Garcia,103.0,190,82.75
325,University of Illinois at Urbana-Champaign,24,2005,74.0,Luther Head,98.5,179,77.25
